	an10	an12	an13_1	an14_1	an14_2	an14_3	an15	an17_deeper	an18_1	an18_2	an4_1	an4_2	an4_3	an4_4	an7	an9_1	an9_2	an9_3	an9_5	an9_6	an22	an23	an24_1	an24_2	an25_cre	an25_slope	an26_1	an26_2	an27	an31	an32_1	an32_2	an34	an36	an41	an50	an52	an56	as16	as19	as2	as4	as5	as7_1	as7_2	as8	as21	as26	as27	as28	as35	as38-20m	as39	as43	as47	as48	as49	as51	as55	as60	as64	as65	as66	as68	as70	as70-2	as71	aw1	aw13	aw19	aw20	aw5	aw9	aw21	aw24	an25	aw25-2	aw26	as26-2	aw27_vid216	aw29	aw30	aw31	aw32	aw34-1	aw34set2-1	aw34set2-2	aw34set3	aw37	aw39	aw40	aw41	aw44	aw50	aw64	aw65	aw66	aw69	aw70	aw71	aw73	aw74	aw75	aw75-slope	aw76	aw77	aw78	aw80	aw82	aw83	aw84	aw85	aw87	aw88	aw89	aw91	aw92_deep	aw92_reef	aw93-1	aw93-2	aw96-1	aw96-2	ae6	ae-expl1	ae-expl2	ae22	ae23	ae24	ae25	ae26	ae27	ae28	ae29	ae30	ae31	ae32	ae33	ae34	ae35	ae36	ae37	ae38-1	ae38-2	ae38-3	ae39	ae40	ae41-1	ae41-2	ae41-3	ae43	ae36	ae47-49	ae48	ae50	ae52	ae53	ae53-2	ae53-3	ae55	ae57	ae58	ae60	ae61	ae62	ae63	ae64	ae65	ae66	ae67	ae68	ae69	ae70	ae71	ae72	ae73	ae74	ae76	ae78	ae79	ae80	ae81	ae83	ae84	ae85	ae86	ae89+90	ae92	ae93	ae98	ae99	ae100	ae102-1	ae102-2	ae102-3	ae102-4	ae102-5	ae103-1	ae103-2	ae103-3	ae105	t2_3-1	t2_3-2	t7_3-1	t14_3	t18_3	t21_4	T24_3	t24_4	t27_4	t30_4	t36_5	t40_4	t43_3	t46_4	t53_1	t53_2	t53_3-1	t58_28m	t58_35m	t60_3	t60_20m	t60_34m	t61_2-2	t61_3	t49_3	t49_4	t64_01	t64_2	t64_3	t67_2	t70_2	t70_4	t73_4	t73_5	t76_3	t76_4	t81_3	ams_n_1	ams_n_2	ams_n_3	ams_n_4	ams_n_5	ams_n_6	ams_n_7	ams_n_8	ams_n_9	ams_n_10	ams_n_11	ams_n_12	ams_n_13	ams_n_14	ams_n_15	ams_n_16	ams_n_17	av_e_1	av_e_2	av_e_3	av_e_4	av_e_5	av_e_6	cc_n_1	cc_n_2	cc_n_3	cc_n_7	cc_n_8	cc_n_9	cc_n_10	cc_n_11	djl_e_1	djl_e_2	djl_e_3	djl_e_4	djl_e_5	djl_e_6	djl_e_7	djl_e_8	djl_e_9	djl_e_10	djl_e_11	djl_e_12	djl_e_13	djl_e_14	djl_e_15	djl_e_16	djl_e_17	djl_e_18	djl_w_1	djl_w_2	djl_w_3	djl_w_4	djl_w_5	djl_w_6	djl_w_7	djl_w_8	djl_w_9	djl_w_10	djl_w_11	djl_w_12	djl_w_13	djl_w_14	djl_w_15	djl_w_16	djl_w_17	djl_w_18	lgg_1	lgg_2	lgg_3	lgg_4	lgg_5	lgg_6	lgg_7	lgg_8	lgg_9	lgg_10	lgg_11	lgg_12	lgg_13	lgg_14	lgg_15	lgg_16	lgg17	tkm_e_1	tkm_e_2	tkm_e_3	tkm_e_4	tkm_e_5	tkm_e_6	tkm_e_7	tkm_e_8	tkm_e_9	tkm_e_10	tkm_e_11	tkm_e_12	tkm_e_13	tkm_e_14	tkm_e_15	tkm_w_1	tkm_w_2	tkm_w_3	tkm_w_4	tkm_w_5	tkm_w_6	tkm_w_7	tkm_w_8	tkm_w_9	tkm_w_10	tkm_w_11	tkm_w_12	tkm_w_13	tkm_w_16	tkm_w_17	tkm_w_18	tkm_w_19	tkm_w_20	tkm_w_21	tkm_w_23	tkm_w_24	tkm_w_25	tkm_w_26	tkm_w_27	tkm_w_28	tkm_w_29	tkm_w_30	tkm_w_31	tkm_w_32	tkm_w_33
ROCK (RCK)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261780105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAND (SND)	75.64102564	74.20212766	0	0	23.29545455	1.694915254	37.86407767	6.32183908	0.71942446	69.67741935	17.91044776	14.28571429	65.86826347	10.03344482	3.038674033	0.793650794	8.988764045	49.35064935	9.090909091	8.050847458	16.33237822	58.13953488	99.28571429	4.705882353	2.215189873	12.07729469	85.3125	10.07751938	4.021447721	100	24.73684211	82.92682927	36.75675676	29	6.32183908	0	4.923076923	0.33557047	10.9375	0	1.356350185	0.530503979	5.727923628	1.52284264	2.134146341	0	0	0.253807107	2.083333333	0	0	0.649350649	0	0	0	0	0.75	0.261780105	0.783289817	0.507614213	3.978779841	0.363636364	3.005464481	0.775193798	3.870967742	0	0.755667506	1.75	6.852791878	1.01010101	0.536193029	1.570680628	0	3.51758794	0	2.770083102	5.75	15.25	1.902173913	98.75	75.75	100	8.974358974	3.007518797	5.050505051	89.9543379	6.179775281	9.848484848	5.149051491	100	100	4.736842105	0	3.947368421	37	4.557640751	17.89473684	4.427083333	1.578947368	16.22418879	0.628930818	0	3.448275862	0.289017341	0	0	0	2.917771883	14.28571429	2.222222222	10	7.00280112	0	4.25	1.578947368	1.315789474	48.88888889	1.193317422	20.39151713	88.94736842	34.23076923	32.5	0	8.5	18.75	0	0	0	5.316455696	0	0	0	0	0	0	0.208333333	0	0	0	1.25	0	0	0	0	0	0.225225225	0	0	0	0.176056338	1.25	0.148367953	0	0	0.576923077	0.333333333	0	0	6.8	2.954545455	4.5	0.4	97.5862069	100	97.60869565	97.60869565	98.25	96.75	100	99.74874372	100	100	100	0	61.07692308	0	3.076923077	44.52380952	97	0.218340611	93.53658537	0	0	3.694874851	85.68181818	0	99.03846154	100	0	0	0	0	0	2.4	8.230452675	47	5.289672544	38.26815642	31.01265823	7.065217391	22.41935484	16.35220126	79.44444444	64.42307692	7.594936709	100	0	21.75	83.75	100	0.966183575	52.13032581	1.25	90	6.071428571	9.137931034	10.29411765	2.601626016	37.14285714	0	5.633802817	5	25.38461538	54.09090909	0	5.571030641	0.25	0.263157895	7.334525939	0.200803213	38.15789474	49.19093851	99.77272727	99.11764706	0	96.76470588	16.49269311	9.090909091	73.17073171	23.33333333	50	50	8.888888889	14.0625	83.55263158	34.50292398	93.33333333	2.403846154	14.14868106	21.9858156	75	2.631578947	9.482758621	96.42857143	17.10526316	59.375	1.438848921	5	10.50328228	9.124087591	0	0	0	95.83333333	0.543478261	100	2.083333333	0	37.5	0	0	5.128205128	0	0	0	0	1.219512195	0	0	0	0	0	0	0	2	13.75	2.083333333	10.71428571	0	0.869565217	2.5	0	40.625	0	62.5	1.5625	0	0	0.636942675	0	0	0	3.311258278	0	12.5	70.83333333	0	0	13.63636364	88.23529412	4.022988506	0	95.5	28.32618026	92.1875	8.823529412	85.92592593	3.947368421	79.83870968	9.523809524	75	0.337837838	0	8.333333333	0	0	13.15789474	3.333333333	0	0	0	0	1.265822785	0	0	3.141361257	0	2.659574468	0	4.779411765	11.95652174	0	0	77.77777778	6.25	0	0	0.961538462	4.04040404	0	0.806451613	0	27.08333333	0	0.740740741	1.136363636	23.23232323	5.454545455	16.66666667	30.76923077	0	0	68	14.47368421	17.1875	12.62135922
SILT (SIL)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEAD CORAL ROCK (CR)	0	0	0	0	0	0	0	0.574712644	0	0	0	0	1.796407186	0	0	0	0.561797753	0	0	0	0	3.617571059	0	5.882352941	0	0	0	0	0	0	0	0	1.081081081	0	1.149425287	0	0	0	0	27.51196172	38.84093711	49.60212202	0	0	0	0	0	0	0.595238095	0	0	0.649350649	0	0	0	0	0	0	8.61618799	0	1.326259947	14.18181818	15.57377049	0	3.870967742	0	0	0	4.822335025	1.262626263	0	0	0	0	0.751879699	2.493074792	0.75	0	0.27173913	0	1.5	0	2.051282051	2.255639098	3.787878788	0	2.808988764	0	8.401084011	0	0	38.15789474	50.26315789	15.26315789	22.75	5.09383378	0	1.822916667	0	0	0	0	0.862068966	8.092485549	0.526315789	0	1.578947368	0.265251989	0	0	0	0	0	0	0	0	0	1.431980907	0.326264274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.481481481	0	2.953586498	0	0	0	0	0	7.729468599	5.513784461	2.25	0	0	8.965517241	0	0.81300813	0	0	0	0	5.769230769	0	0	0	0	0.789473684	4.114490161	0.803212851	36.31578947	0.485436893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUBBLE (RBL)	0.256410256	0	0	0	0	0	0	0	0	0	2.23880597	12.5	0	0	0	0	0	0	0	0	0	0.775193798	0	0	0	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0.3125	0	3.452527744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783289817	0	0	0	0	0	1.290322581	0	0	3.25	13.45177665	0	0	1.832460733	0.261780105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02020202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.436781609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.193317422	5.383360522	8.421052632	0	0.227272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238379023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	7.805907173	0	0	0	0.357142857	0	4.347826087	0	0	0.789473684	0	0	0	1.62601626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.306889353	0	0	0	0	0	0	0	0.657894737	0	0	0	0	0	0	2.631578947	0	0	0	0	0	0	0.218818381	0.364963504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.272727273	4.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675675676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.128205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORAL (C)	8.717948718	0	58.97435897	31.57894737	1.136363636	10.73446328	3.236245955	12.64367816	64.74820144	9.677419355	21.64179104	5.357142857	19.76047904	39.46488294	96.13259669	29.36507937	80.8988764	30.51948052	3.03030303	24.57627119	21.7765043	13.17829457	0	34.90196078	29.74683544	14.00966184	1.5625	63.04909561	12.33243968	0	14.73684211	7.317073171	27.56756757	0.25	17.52873563	32.18085106	30.46153846	16.10738255	0	6.698564593	9.124537608	20.15915119	0.477326969	4.060913706	25.91463415	2.02020202	79.12087912	71.57360406	3.273809524	44.54022989	56.41025641	31.16883117	37.17277487	27.19033233	42.31974922	55.48780488	0	36.91099476	21.93211488	10.15228426	11.14058355	19.63636364	37.15846995	76.48578811	67.09677419	23.96313364	29.97481108	0	15.73604061	23.48484848	20.10723861	13.87434555	22.77486911	9.045226131	3.759398496	23.82271468	0	0.75	23.09782609	0	0	0	46.15384615	79.94987469	63.13131313	7.762557078	41.01123596	58.33333333	59.3495935	0	0	28.94736842	38.94736842	29.21052632	7.75	78.01608579	0	69.79166667	3.157894737	0.589970501	0	17.94195251	40.8045977	59.53757225	14.73684211	0.833333333	0	50.66312997	0.264550265	1.944444444	0.263157895	0	0	0	0	0	17.22222222	33.41288783	26.10114192	0	0	11.13636364	2.512562814	0	0.25	5.303030303	5.141388175	3.626943005	5.316455696	5	3.266331658	1	3.5	2.255639098	24.29022082	0.625	16.37279597	0	32.22506394	0.25	32.40506329	17.76649746	5	33.91304348	0.25	23.42342342	1.333333333	0	0.625	21.12676056	0.25	20.91988131	2.25	1.25	0.192307692	0	0	0	0.6	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	14.53634085	0	12.5862069	20.21978022	0	0.25	22.92576419	0	18.65008881	9.07504363	0	0	21.29380054	0	0	31.04395604	9.171597633	23.09368192	41.33333333	1.666666667	8.4	0	0	6.04534005	6.145251397	0	7.336956522	0	55.97484277	1.296296296	0	24.05063291	0	10.2244389	0	0	0	9.420289855	4.511278195	12.75	0	0	8.620689655	0	28.7804878	1.785714286	8.24742268	14.68812877	6.944444444	6.346153846	0	36.72413793	0	1	30.26315789	23.79248658	60.64257028	0	2.265372168	0	0	66.73913043	0	15.24008351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454545455	0.218818381	0	0	0	0	0	0.543478261	0	2.083333333	0	0	0	0	0	0	0.740740741	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	0	0	0	0	2.362204724	0	0.636942675	2.631578947	0	0	1.986754967	0.900900901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.73684211	8.333333333	3.225806452	0	0	0.735294118	7.594936709	0	0	1.047120419	0	0.531914894	0	0	0	0	0	0	0	0	0	0	0	1.041666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIRE CORAL (FC)	0	0	0	5.263157895	0	1.694915254	0	1.149425287	0	4.516129032	2.23880597	0	0	0	0.552486188	0	0	0	0	0	0.286532951	0	0	0	0	0	0	0.258397933	0	0	0	0	0	0	0	0.79787234	1.538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.554404145	0.253164557	0	1.005025126	0.75	0	0	3.470031546	0	0.503778338	0	1.534526854	0	0.759493671	0	0	1.739130435	0.25	0	0	0	0	2.288732394	0	2.077151335	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.754385965	0	0.689655172	2.417582418	0	0	0	0	0.177619893	0.523560209	0	0	0.269541779	0	0	1.373626374	0	0.871459695	2	0	0	0	0	0	0	0	0	0	0	1.111111111	0.480769231	0	0	0.374064838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.740740741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.777777778	0	0	0	1.315789474	0	0	0	0	0	2.53164557	0	0	0	0	0	0	0.367647059	0	0	0	0	0	0	0	0	0	0	0.806451613	0	0	0	0	1.136363636	0	0	0	0	0	0	0	0	0	0
SOFT CORAL (OC)	6.666666667	0	7.692307692	0	0	3.389830508	11.00323625	8.045977011	11.51079137	1.935483871	26.86567164	21.42857143	4.790419162	19.06354515	0	0.264550265	1.685393258	0.649350649	3.03030303	22.88135593	2.29226361	12.14470284	0	0	1.898734177	0	0	3.617571059	0	0	53.15789474	7.317073171	3.513513514	0	14.65517241	18.88297872	34.15384615	10.73825503	0	1.674641148	8.754623921	3.713527851	0	0	1.219512195	0	0.549450549	1.52284264	0	0	0.769230769	20.12987013	25.13089005	1.208459215	1.253918495	1.524390244	0	2.094240838	5.744125326	19.2893401	3.183023873	25.09090909	4.644808743	0	0	1.843317972	0	0	39.59390863	1.262626263	2.949061662	1.308900524	1.047120419	2.010050251	8.270676692	28.80886427	0	0	21.4673913	0	0	0	14.87179487	0	0	0	3.370786517	0	5.149051491	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287356322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.057279236	7.504078303	0	0	32.95454545	0	0	0	0	6.16966581	1.554404145	0	0.5	2.010050251	0.75	1.75	0	0.94637224	2.291666667	0.503778338	0.208333333	8.439897698	0.5	0.759493671	8.121827411	8.75	3.47826087	2.5	1.351351351	2.666666667	0	0	3.521126761	0.5	6.676557864	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.206896552	5.274725275	0	0	1.310043668	0	2.841918295	5.235602094	0	0	14.28571429	0	0	11.53846154	4.142011834	17.4291939	6	0	51.6	16.87242798	1	0.503778338	8.100558659	0	25.54347826	3.387096774	4.402515723	1.111111111	7.211538462	37.13080169	0	19.32668329	0	0	0	14.97584541	8.771929825	1.25	0	0	5	0	21.30081301	1.607142857	0	21.52917505	7.222222222	0.192307692	0	4.482758621	0	0	1.578947368	17.71019678	6.024096386	0	1.941747573	0	0	0	0	4.175365344	0	0	0	0	0	1.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454545455	0	0	0	4.6875	0	0	1.630434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337837838	2.777777778	0	0	0	0	0	0	0	0	0	0	0	0	0.523560209	0	0.531914894	0	0.367647059	0	0	0	0	0	0	0	0	0	2.083333333	0	0	0	0	1.481481481	0	1.01010101	0	0	0	0	0	1	0	0	0
DEAD STANDING HARD CORAL (DC)	0	0	0	0	0	0	0	0	0	0	0.746268657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.269035533	0.757575758	0	0	0	0	0	0.27700831	0	0	0	0	0	0	1.282051282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.335260116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210970464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357781753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TURF ALGAE (TA)	0.512820513	25.79787234	0	18.42105263	7.954545455	48.02259887	47.89644013	27.5862069	6.474820144	4.516129032	6.71641791	0	0.598802395	2.006688963	0	1.851851852	1.685393258	0	0	6.779661017	45.55873926	9.302325581	0	35.29411765	56.96202532	73.91304348	11.875	15.24547804	71.84986595	0	6.842105263	2.43902439	27.02702703	53.25	41.09195402	10.90425532	15.07692308	72.81879195	34.6875	21.05263158	0.986436498	18.83289125	5.011933174	94.16243655	58.53658537	51.01010101	18.68131868	26.64974619	39.58333333	48.56321839	31.02564103	1.948051948	37.69633508	70.09063444	56.42633229	42.07317073	19	32.98429319	19.84334204	7.868020305	6.896551724	6.181818182	33.06010929	5.167958656	3.225806452	5.99078341	4.785894207	80.5	9.390862944	12.87878788	0	24.60732984	37.95811518	0	69.92481203	26.31578947	0	11	41.84782609	0	18.25	0	23.07692308	10.27568922	19.94949495	0	39.3258427	27.52525253	13.82113821	0	0	28.15789474	10.78947368	45.26315789	4.75	12.33243968	82.10526316	5.208333333	92.89473684	79.94100295	0	81.79419525	52.29885057	17.91907514	79.47368421	49.72222222	0.526315789	42.70557029	56.34920635	78.05555556	47.63157895	3.081232493	5.789473684	0	2.894736842	23.42105263	22.5	57.99522673	36.70473083	2.631578947	65	11.13636364	8.542713568	43	55.5	9.848484848	8.483290488	5.18134715	1.518987342	1	0.502512563	4	10	73.68421053	59.30599369	0	72.29219144	2.291666667	37.08439898	1	60.25316456	58.37563452	83.75	42.60869565	3.5	59.68468468	2.666666667	0	0.625	51.4084507	1	36.79525223	15	80	55.19230769	0	0	0	13	30.45454545	51.5	6.4	0	0	0	0	0	0	0	0	0	0	0	78.94736842	5.076923077	67.5862069	64.17582418	45	0	71.1790393	2.195121951	63.76554174	79.40663176	64.00476758	3.181818182	60.64690027	0.769230769	0	54.67032967	80.17751479	47.05882353	46.66666667	86.11111111	27.2	53.08641975	52	86.39798489	41.06145251	68.98734177	56.25	71.4516129	19.49685535	11.2962963	19.95192308	5.063291139	0	64.71321696	78.25	0	0	0.966183575	24.31077694	28	0	0	36.55172414	0	42.76422764	53.92857143	13.69661267	55.73440644	36.66666667	19.80769231	26.59090909	50.17241379	1.114206128	18.5	26.05263158	38.28264758	22.28915663	2.105263158	24.91909385	0	0	2.608695652	0	43.00626305	0	0.81300813	43.33333333	25	25	75.55555556	31.25	0.657894737	14.61988304	6.666666667	84.13461538	7.194244604	28.36879433	6.818181818	25	77.15517241	3.571428571	80.26315789	12.5	94.24460432	49.09090909	70.89715536	60.58394161	21.875	1.5625	95.83333333	4.166666667	51.63043478	0	45.83333333	3.03030303	12.5	0	16.66666667	4.273504274	41.66666667	2.962962963	16.27906977	90.625	3.658536585	7.602339181	19.42446043	14.28571429	54.16666667	22.22222222	34.07079646	46.875	3	6.25	39.58333333	7.142857143	97.97297297	13.91304348	7.5	12.5	31.25	0	0	45.3125	6.299212598	31.25	15.2866242	40.78947368	84.21052632	18.18181818	63.57615894	38.73873874	57.95454545	12.5	95	23.07692308	21.21212121	1.838235294	25.28735632	100	2	38.62660944	6.770833333	50	12.59259259	94.73684211	18.9516129	89.88095238	25	5.743243243	52.77777778	7.5	56.25	6.25	52.63157895	6.666666667	35.48387097	0	23.33333333	12.13235294	37.97468354	5.46875	52.63157895	10.9947644	37.14285714	15.42553191	58.97435897	7.352941176	16.30434783	20.45454545	52.77777778	19.44444444	37.5	0	50	10.57692308	26.26262626	15.625	38.70967742	20.58823529	45.83333333	16.34615385	34.07407407	48.86363636	9.090909091	54.54545455	11.11111111	9.615384615	4.411764706	66.66666667	16	11.84210526	17.1875	29.12621359
