transect	depth	Rock.RCK	Sand.SND	Silt.SIL	Dead.coral.rock.CR	Rubble.RBL	Acanthastrea.ACANT	Acropora.arborescent.table.ACTA	Acropora.corymbose.ACO	Acropora.digitate.ACD	Acropora.juvenile.ARCJUV	Acropora.palifera.ACP	Acropora.recruit.ARCREC	Acropora.short.branching.stag.ACB	Acropora.staghorn.ACS	Acropora.tabular.ACT	Anomastrea.ANOM	Astreopora.ASTR	Branching.Hard.Coral.Unident.CB	Coscinaraea.COSC	Cycloseris.CYCL	Cynarina.CYAN	Cyphastrea.CYPH	Diaseris.DIAS	Echinophyllia.ECHIPH	Echinopora.ECHIO	Encrusting.Hard.Coral.Unident.CE	Favia.FAVA	Favites.FAVT	Foliose.Hard.Coral.Unident.CF	Fungia.FUNG	Galaxea.astreata.GALA	Galaxea.fascicularis.GALF	Gardineroseris.GARD	Goniastrea.GONIA	Goniopora.GONP	Halomitra.HALOM	Herpolitha.HERP	Hydnophora.HYDN	Leptastrea.LEPT	Leptoria.LEPTO	Leptoseris.LPTOS	Lobophyllia.LOBOP	Massive.Hard.Coral.Unident.CM	Merulina.MER	Micromussa.MICRO	Montastrea.MONTA	Montipora.branching.MNTB	Montipora.encrusting.MNTE	Mycedium.MYC	Oulophyllia.OULO	Oxypora.OXYP	Pachyseris.PACH	Pavona.PAV	Pectinia.PECT	Physogyra.PHYS	Platygyra.PLATY	Plesiastrea.PLES	Pleurogyra.PLEU	Pocillopora.damicornis.POCD	Pocillopora.eydouxi.POCE	Pocillopora.indiana.POCI	Pocillopora.other.POCO	Pocillopora.verrucosa.POCV	Podabacia.PODA	Porites.branching.PORB	Porites.massive.PORM	Psammocora.PSAM	Seriatopora.SERI	Stylocoeniella.STYLA	Stylophora.STYL	Symphyllia.SYMP	Tubastrea.TUBAS	Turbinaria.TURB	Unkown.coral.UNK	Millepora.MILL	Gorgonia.GORG	Heliopora.HELIO	Other.soft.corals.SCOT	Rhytisma.RHYT	Sarcophyton.SARC	Tubipora.musica.TUBMUS	Palythoa.sp..PALYT	Protopalythoa.sp..PROTP	Zoanthus.sp..ZOAN	Discosoma.sp..DISCO	Hydrozoan.HYD	Ascidian.ASC	Dead.standing.hard.coral.recent./.white.DC	Fine.turf.algae.TA	Fine.turf.algae.on.dead.coral.rock.CRTA	Fine.turf.algae.on.dead.standing.coral.DCTA	Fine.turf.algae.on.rubble.RBTA	Coralline.algae.CA	Algal.assemblage.AA	Algal.assemblage.on.dead.coral.rock.CRAA	Algal.assemblage.on.dead.standing.coral.DCAA	Algal.assemblage.on.rubble.RBAA	Chlorophyte.macroalgae.CHLO	Phaeophyte.macroalgae.PHAEO	Rhodophyte.macroalgae.RHODO	Halimeda.discoidea.big.HALD	Halimeda.opuntia.small.HALO	Cyanophytes.CYB	Cymodocea.serrulata.SGCYM	Halodule.uninervis.SGHADU	Halophila.ovalis.SGHALO	Other.seagrass.SGOT	Seagrass.detritus.SGDET	Thalassodendron.ciliatum.SGTHAL	Grey.encrusting.sponge.SPG	Red.encusting.sponge.SPR	Sponge.SP	Sponge.foliose.SPF	Sponge.massive.SPM	Sponge.vase.SPV	Anemone.ANE	Holothurian.HOLO	Mollusc.MOL	Tridacna.TRID	Unidentified.UID	Urchin.URCH
T01d	deep	0	22	0	0	0	0	0	0	0	0	2	0	39	0	0	0	0	0	0	0	0	0	0	0	29	0	4	3	0	0	0	3	4	7	0	0	0	0	4	0	0	10	0	0	0	4	0	0	0	0	0	0	2	0	0	0	3	0	4	7	0	0	5	0	16	34	0	0	0	0	0	0	0	0	1	0	0	4	112	5	0	1	0	0	0	0	1	0	0	139	5	7	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
T01s	shallow	0	0	0	0	0	0	0	21	0	0	123	0	22	0	4	0	0	0	0	0	0	0	0	0	30	0	1	3	0	0	0	0	0	2	0	0	0	0	2	4	0	0	0	0	0	1	0	8	0	0	0	0	4	0	0	1	1	0	3	2	0	0	6	0	20	22	0	0	0	9	0	0	0	0	4	0	0	1	10	0	0	0	0	0	0	0	0	0	0	165	5	10	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T07d	deep	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	4	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	1	2	0	0	15	0	0	0	0	0	7	6	2	0	0	0	0	0	0	0	5	0	0	13	62	0	0	0	0	0	0	0	0	0	0	247	4	94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0
T07s	shallow	0	0	0	0	0	0	0	18	0	0	11	0	24	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	8	0	0	5	6	1	0	6	0	13	14	0	0	0	2	0	0	0	0	5	0	0	3	6	0	0	0	0	0	0	0	0	0	0	350	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
T13d	deep	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	347	2	78	1	0	0	0	0	0	0	0	3	35	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0
T13s	shallow	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	1	0	3	0	0	0	0	0	4	0	1	3	0	0	0	0	0	4	0	0	0	1	5	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	6	5	0	0	0	1	0	0	0	0	39	0	0	49	55	1	0	0	0	0	0	1	0	0	0	272	0	4	7	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T19d	deep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	11	0	4	0	0	0	0	0	0	13	0	0	0	6	11	5	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	4	0	0	1	0	0	0	3	0	29	48	0	0	0	0	0	0	0	0	7	0	0	18	54	64	0	0	0	1	0	1	1	0	0	163	3	7	0	0	11	0	0	0	0	2	0	14	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0
T19s	shallow	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	1	0	0	1	0	0	7	0	4	2	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	1	0	0	2	0	10	10	0	0	0	6	0	0	1	0	25	0	0	154	35	0	0	0	0	0	0	0	0	0	0	115	0	0	14	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
T25d	deep	0	4	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	7	0	2	0	5	0	7	9	0	0	0	0	0	1	0	0	23	0	0	2	4	4	0	0	0	0	0	0	0	0	0	349	2	20	4	0	9	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	20	0	0	0	0	0	0	0	0	1	0
T25s	shallow	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	1	0	2	0	0	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	5	0	2	0	20	18	0	0	0	13	0	4	0	0	32	0	0	57	0	3	0	0	0	0	0	0	0	0	0	251	4	8	23	0	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
