transect	T01d	T01s	T07d	T07s	T13d	T13s	T19d	T19s	T25d	T25s	T37d	T37s	T43d	T43s	T49d	T49s	T55d	T55s	T61d	T61s	T67d	T67s	T71d	T71s	T75d	T75s	T79d	T79s	T04d	T04s	T16d	T16s	T10s	T22d	T22s	T28d	T28s	T34d	T34s	T40d	T40s	T46d	T46s	T51d	T51s	T58d	T58s	T64d	T64s	T69s	T73d	T73s	T77d	T77s	T81d	T81s
Rock (RCK)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sand (SND)	4,435483871	0	0,801603206	0	0	0	0	0	0,8	0	0	0	0	0	0	0	0	0	0,2	0	0	0	1,40562249	0	32,26452906	6,8	2,874743326	17,06827309	4,422110553	1,276595745	8,216432866	2,808425276	0	5,823293173	1,303911735	2,311557789	6,3	0,401203611	0	0,100200401	0	0	0	0	0	0	0	0,8	0	0	0	0,200400802	0	0	0	0,8
Silt (SIL)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,100200401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dead coral rock (CR)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,8	0	0	0,803212851	0	0	0	0	0
Rubble (RBL)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,401606426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthastrea (ACANT)	0	0	0	0	0	0	0	0	0	0	0	0	0,21141649	0	0	0	0	0,421052632	0	0	0	0	0	0	0	0	0	0	0,100502513	0,106382979	0	0	0	0,200803213	0	0	0	0	0	0	0	0	0	0	0,402414487	0,6	0	0	0	0	0	0	0	0	0	0
Acropora arborescent table (ACTA)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acropora corymbose (ACO)	0	4,208416834	0	3,6	0	0	0	0	0	0	0	0	0	0	0	0,669642857	0,2	2,947368421	0	0	0	0	0	0	0	0,8	0	0	0	1,595744681	0	0	0	0	0	0	0	0	0	0	0	0	0	1,10330993	0,301810865	0	0	0	0	0	0	0	0	0	0	0,6
Acropora digitate (ACD)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,414486922	0	0	0	0	0	0	0	0	0	0	0
Acropora juvenile (ARCJUV)	0	0	0	0	0	0	0	0,235294118	0	0	0	0	0	0	0,200400802	0	0,4	0	0	0	0	0	0	0	0,200400802	0,2	0	0,803212851	0	0,85106383	0,100200401	0,100300903	0,101317123	0	0,100300903	0	0	0,100300903	0	0	0	0	0,903954802	0	0,100603622	0	0,404040404	0	0	0,363636364	0	0,801603206	0,203665988	0	0,200803213	0
Acropora palifera (ACP)	0,403225806	24,6492986	0	2,2	0,200400802	1,425661914	0	0	0	0,200400802	0,202020202	0	0	0	0	0	0	0	0	1,6	0	12,2	0	5,611222445	0	9,4	0	5,421686747	0	11,91489362	0	0	0,810536981	0,803212851	24,87462387	0	0	0,100300903	0	0,801603206	0	0,308959835	0	0	1,710261569	0	0,808080808	1,4	8,4	0,727272727	0	13,62725451	0	1,807228916	0,602409639	5,8
Acropora recruit (ARCREC)	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0,200400802	0	0	0,210526316	0	0,2	0	0	0	0	0	0	0	0	0	0,425531915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,808080808	0	0	0	0	0	0,203665988	0	0,200803213	0
Acropora short branching stag (ACB)	7,862903226	4,408817635	0,200400802	4,8	0	0,610997963	0	3,529411765	1,8	0	0	0	1,057082452	1,6563147	3,607214429	11,38392857	5,6	7,789473684	3	0,6	3,206412826	1,4	1,204819277	1,20240481	1,803607214	1,6	0	2,81124498	1,909547739	0,531914894	0,200400802	0,802407222	0,303951368	4,718875502	7,221664995	0,904522613	0,6	0,802407222	0,100502513	0	0	1,544799176	11,52542373	66,90070211	28,26961771	1	1,616161616	1,2	0,6	1,818181818	2,208835341	1,20240481	0,407331976	0,200803213	0,602409639	2,2
Acropora staghorn (ACS)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,531914894	0	0	0	0	0	0	0	0	0	0	0	0,102986612	3,389830508	0	0	0	0	0	0	0	0	0	0	0	0	0
Acropora tabular (ACT)	0	0,801603206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,703406814	0	0	0	0	0	0	0	0	0	0	0,720906282	3,050847458	9,62888666	0	0	0	0	0	0	0	0	0	0	0	0
Anomastrea (ANOM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,225988701	0	0	0	0	0	0	0	0	0,601202405	0	0	0	0
