transect.name	t01.d	t01.s	t07.d	t07.s	t13.d	t13.s	t19.d	t19.s	t25.d	t25.s	t37.d	t37.s	t43.d	t43.s	t49.d	t49.s	t55.d	t55.s	t61.d	t61.s	t67.d	t67.s	t71.d	t71.s	t75.d	t75.s	t79.d	t79.s	t04.D	t04.s	t16.d	t16.s	t10.s	t22.d	t22.s	t28.d	t28.s	t34.d	t34.s	t40.d	t40.s	t46.d	t46.s	t51.d	t51.s	t58.d	t58.s	t64.d	t64.s	t69.s	t73.d	t73.s	t77.d	t77.s	t81.d	t81.s
depth	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	D	s	d	s	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	d	s	s	d	s	d	s	d	s
exposure	medium	medium	medium	medium	medium	medium	medium	medium	medium	medium	high	high	high	high	high	high	high	high	high	high	low	low	low	low	low	low	low	low	medium	medium	medium	medium	medium	medium	medium	medium	medium	very_high	very_high	high	high	high	high	high	high	high	high	high	high	low	low	low	low	low	low	low
aspect	north	north	north	north	north	north	north	north	north	north	south	south	south	south	south	south	south	south	south	south	west	west	west	west	west	west	west	west	north	north	north	north	north	north	north	north	north	east	east	south	south	south	south	south	south	south	south	south	south	west	west	west	west	west	west	west
frames	20	20	20	20	20	20	20	17	20	20	20	20	20	20	20	18	20	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	20	11	20	20	20	20	20	20
points.total	496	500	500	500	500	493	500	425	500	500	495	500	500	500	500	450	500	475	500	500	500	500	500	500	500	500	491	500	999	949	999	999	1000	1000	999	1000	1000	1000	997	1000	1000	1000	950	1000	1000	500	500	500	500	275	500	500	500	500	500	500
points.total.min.tws	496	499	499	500	499	491	500	425	500	499	495	500	473	483	499	448	0	475	500	500	0	500	498	499	499	500	487	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	499	491	498	498	500
rock	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sand	4.435483871	0	0.801603206	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0.2	0	0	0	1.40562249	0	32.26452906	6.8	2.874743326	17.06827309	4.422110553	1.276595745	8.216432866	2.808425276	0	5.823293173	1.303911735	2.311557789	6.3	0.401203611	0	0.100200401	0	0	0	0	0	0	0	0.8	0	0	0	0.200400802	0	0	0	0.8
silt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100200401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dead.coral.rock	28.02419355	33.06613226	49.498998	70	69.53907816	55.39714868	32.6	27.05882353	69.8	50.3006012	17.37373737	12.4	22.62156448	50.93167702	50.3006012	66.29464286	31.6	57.89473684	40.8	71.8	23.84769539	41.4	48.59437751	55.11022044	27.85571142	59.8	35.72895277	35.54216867	0.804020101	0.85106383	0.400801603	0.300902708	0.202634245	0.502008032	0.802407222	0	0.1	2.407221665	0	0.100200401	0	0.926879506	4.406779661	1.303911735	1.509054326	0.2	0.606060606	2.2	0.2	0.727272727	26.30522088	39.27855711	33.60488798	47.79116466	24.49799197	41.8
rubble	1.411290323	2.004008016	18.83767535	0.4	15.63126253	0.814663951	1.4	0	4	1.603206413	0.202020202	0	1.268498943	0	3.206412826	0	1.8	0.210526316	4.2	0	10.82164329	0	3.212851406	0.601202405	0.801603206	0.4	5.338809035	0	0	0	0	0	0	0.401606426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200400802	0	1.204819277	5.020080321	1.4
coral	36.29032258	57.91583166	11.02204409	25.8	2.004008016	11.81262729	28.8	16.47058824	10.6	21.24248497	7.474747475	10.2	6.765327696	8.488612836	26.45290581	24.77678571	35.6	33.68421053	24.2	19.2	29.45891784	42	24.09638554	27.85571142	20.84168337	30.8	19.91786448	45.18072289	16.28140704	29.68085106	9.218436874	19.15747242	2.026342452	33.73493976	59.0772317	8.844221106	23.5	13.13941825	3.718592965	13.42685371	11.25401929	39.34088568	35.36723164	81.24373119	44.76861167	19.4	26.86868687	10.8	27.2	17.81818182	41.56626506	51.70340681	36.86354379	16.26506024	32.12851406	49
fire.coral	0.201612903	0.801603206	1.002004008	1	0.200400802	7.942973523	1.4	5.882352941	4.6	6.412825651	4.444444444	0.2	0	2.277432712	0	1.5625	0	0.210526316	0.2	0	0	1.2	0	1.002004008	0	0	0	0	0	2.340425532	0	4.513540622	0.202634245	0	0.200601805	3.015075377	2.7	2.006018054	0.301507538	0.601202405	0.214362272	2.98661174	0.225988701	0	1.006036217	1.8	0.202020202	0	0.6	0	0.200803213	1.20240481	0	1.204819277	0	0.4
soft.coral	24.39516129	2.204408818	15.03006012	1.8	3.006012024	21.38492872	27.2	44.47058824	2	12.0240481	9.696969697	1.8	2.536997886	3.519668737	3.80761523	6.696428571	18.8	6.947368421	27	7.4	23.04609218	12.2	20.08032129	13.22645291	12.0240481	0.2	25.0513347	1.606425703	15.57788945	1.489361702	10.02004008	12.93881645	0	23.89558233	1.404212638	0.40201005	1.2	0.702106319	9.246231156	18.43687375	2.679528403	1.132852729	1.468926554	1.203610832	2.515090543	36.8	5.050505051	31.8	4	1.090909091	25.90361446	3.80761523	16.29327902	24.29718876	32.12851406	3.8
other	0.403225806	0	0	0	0	0.203665988	0.6	0.235294118	0.2	0	0	0	0.21141649	1.035196687	0	0	0	0.421052632	0	0	0.200400802	0	0.200803213	0.601202405	0.200400802	0.4	0.410677618	0	0.603015075	0.212765957	0.100200401	0	0	1.204819277	0.200601805	0.100502513	0	0	0.201005025	0.701402806	0	0.926879506	0.903954802	1.805416249	0	0.4	0.606060606	0.2	0.2	0	0.200803213	0	0.203665988	0.401606426	0.602409639	1
dead.standing.hard.coral	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100502513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
