"pkSurvey_ID"	"region"	"fkTransect"	"transect"	"ts"	"CountOfpksurvey_at_site"	"family"	"fam_sci"	"genus"	"species"	"AvgOfquantity"	"aspect"	"direction"	"exposure"	"Rugosity"	"Variety"	"Height"	"refuge_size_categories"	"live_cover"	"hard_substratum"	"depth1"	"guild"	"DS"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Angelfish"	"Pomacanthidae"			3.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Varied diet"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"auriga"	1.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Corallivore/Invertivore"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"flavissimus"	5.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Corallivore/Invertivore"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"guttatissimus"	2.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Corallivore/Invertivore"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"meyersi"	1.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Corallivore/Invertivore"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Groupers"	"Epinephelidae"			12.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Piscivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Groupers"	"Epinephelidae"	"Epinephelus"	"tukula"	1.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Piscivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Groupers"	"Epinephelidae"	"Plectropomus"	"laevis"	3.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Piscivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Groupers"	"Epinephelidae"	"Variola"	"louti"	3.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Piscivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Parrotfish"	"Scaridae"			3.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Herbivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Pufferfish"	"Tetraodontidae"			2.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Invertivores*"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Snappers"	"Lutjanidae"			11.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Piscivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Soldierfish"	"Holocentridae"			3.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Planktivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Surgeonsfishes"	"Acanthuridae"	"Acanthurus"		12.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Herbivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Surgeonsfishes"	"Acanthuridae"	"Zebrasoma"		3.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Herbivores"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Sweetlips"	"Haemulidae"			30.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Invertivores*"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Triggerfish"	"Balistidae"	"Balistoides"	"viridescens"	2.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Invertivores*"	"deep"
1	"Polymnie"	1	"T01"	"t01.d"	1	"Wrasse"	"Labridae"	"Cheilinus"	"undulatus"	2.00	1	"N"	"medium"	4	4	3	4	4	4	1	"Invertivores*"	"deep"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Angelfish"	"Pomacanthidae"			4.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Varied diet"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"citrinellus"	1.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"flavissimus"	4.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"lunula"	24.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"meyersi"	3.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Groupers"	"Epinephelidae"			6.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Piscivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Groupers"	"Epinephelidae"	"Epinephelus"	"tukula"	1.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Piscivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Groupers"	"Epinephelidae"	"Variola"	"louti"	1.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Piscivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Parrotfish"	"Scaridae"			3.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Herbivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Pufferfish"	"Tetraodontidae"			3.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Invertivores*"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Snappers"	"Lutjanidae"			505.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Piscivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Soldierfish"	"Holocentridae"			8.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Planktivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Surgeonsfishes"	"Acanthuridae"	"Acanthurus"		10.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Herbivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	2	"Surgeonsfishes"	"Acanthuridae"	"Zebrasoma"		51.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Herbivores"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Sweetlips"	"Haemulidae"			3.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Invertivores*"	"shallow"
3	"Polymnie"	1	"T01"	"t01.s"	1	"Triggerfish"	"Balistidae"	"Balistoides"	"viridescens"	2.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Invertivores*"	"shallow"
4	"Polymnie"	1	"T01"	"t01.s"	1	"Angelfish"	"Pomacanthidae"			2.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Varied diet"	"shallow"
4	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"auriga"	2.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
4	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"flavissimus"	1.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
4	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"meyersi"	1.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
4	"Polymnie"	1	"T01"	"t01.s"	1	"Butterflyfish"	"Chaetodontidae"	"Chaetodon"	"xanthocephalus"	2.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Corallivore/Invertivore"	"shallow"
4	"Polymnie"	1	"T01"	"t01.s"	1	"Groupers"	"Epinephelidae"			1.00	1	"N"	"medium"	5	5	5	5	5	5	2	"Piscivores"	"shallow"
