transect.name	depth	exposure	aspect	region	frames	points.total	points.total.min.tws	rock	sand	silt	dead.coral.rock	rubble	coral	fire.coral	soft.coral	other	dead.standing.hard.coral	dead.standing.hard.coral.ta	crustose.coraline.algae	macro.algal.assemblage	seagrass	sponge	tws
t01.d	d	medium	north	polymnie	20	496	496	0	4.435483871	0	28.02419355	1.411290323	36.29032258	0.201612903	24.39516129	0.403225806	0	1.008064516	0.403225806	1.008064516	0	2.419354839	0
t01.s	s	medium	north	polymnie	20	500	499	0	0	0	33.06613226	2.004008016	57.91583166	0.801603206	2.204408818	0	0	1.002004008	0.801603206	2.204408818	0	0	0.2
t07.d	d	medium	north	malabar	20	500	499	0	0.801603206	0	49.498998	18.83767535	11.02204409	1.002004008	15.03006012	0	0	0.801603206	0	1.20240481	0.200400802	1.603206413	0.2
t07.s	s	medium	north	malabar	20	500	500	0	0	0	70	0.4	25.8	1	1.8	0	0	0.2	0.2	0.4	0.2	0	0
t13.d	d	medium	north	malabar	20	500	499	0	0	0	69.53907816	15.63126253	2.004008016	0.200400802	3.006012024	0	0	0.400801603	0.200400802	7.615230461	0.400801603	1.002004008	0.2
t13.s	s	medium	north	malabar	20	493	491	0	0	0	55.39714868	0.814663951	11.81262729	7.942973523	21.38492872	0.203665988	0	0	1.425661914	1.018329939	0	0	0.405679513
t19.d	d	medium	north	malabar	20	500	500	0	0	0	32.6	1.4	28.8	1.4	27.2	0.6	0	0.6	0	5.4	0.4	1.6	0
t19.s	s	medium	north	malabar	17	425	425	0	0	0	27.05882353	0	16.47058824	5.882352941	44.47058824	0.235294118	0	0	3.294117647	2.117647059	0	0.470588235	0
t25.d	d	medium	north	north.grand.terre	20	500	500	0	0.8	0	69.8	4	10.6	4.6	2	0.2	0	0.4	0.8	2.4	0.4	4	0
t25.s	s	medium	north	north.grand.terre	20	500	499	0	0	0	50.3006012	1.603206413	21.24248497	6.412825651	12.0240481	0	0	0.801603206	4.609218437	2.605210421	0	0.400801603	0.2
t37.d	d	high	south	takamaka	20	495	495	0	0	0	17.37373737	0.202020202	7.474747475	4.444444444	9.696969697	0	0	0	0.202020202	60.60606061	0	0	0
t37.s	s	high	south	takamaka	20	500	500	0	0	0	12.4	0	10.2	0.2	1.8	0	0	0.2	0	75	0	0	0
t43.d	d	high	south	takamaka	20	500	473	0	0	0	22.62156448	1.268498943	6.765327696	0	2.536997886	0.21141649	0	0.21141649	0	65.53911205	0.422832981	0.422832981	5.4
t43.s	s	high	south	takamaka	20	500	483	0	0	0	50.93167702	0	8.488612836	2.277432712	3.519668737	1.035196687	0	0.207039337	0.207039337	33.126294	0	0	3.4
t49.d	d	high	south	south.coast	20	500	499	0	0	0	50.3006012	3.206412826	26.45290581	0	3.80761523	0	0	1.20240481	0	14.82965932	0	0.200400802	0.2
t49.s	s	high	south	south.coast	18	450	448	0	0	0	66.29464286	0	24.77678571	1.5625	6.696428571	0	0	0.223214286	0	0.446428571	0	0	0.444444444
t55.d	d	high	south	south.coast	20	500	0	0	0	0	31.6	1.8	35.6	0	18.8	0	0	0.2	0	10.4	0	1.6	0
t55.s	s	high	south	south.coast	19	475	475	0	0	0	57.89473684	0.210526316	33.68421053	0.210526316	6.947368421	0.421052632	0	0	0	0.421052632	0	0.210526316	0
t61.d	d	high	south	south.coast	20	500	500	0	0.2	0	40.8	4.2	24.2	0.2	27	0	0	0.4	0	2.4	0.4	0.2	0
t61.s	s	high	south	south.coast	20	500	500	0	0	0	71.8	0	19.2	0	7.4	0	0	0	0.2	1.2	0	0.2	0
t67.d	d	low	west	south.coast	20	500	0	0	0	0	23.84769539	10.82164329	29.45891784	0	23.04609218	0.200400802	0	0	0	11.62324649	0	1.002004008	0.2
t67.s	s	low	west	south.coast	20	500	500	0	0	0	41.4	0	42	1.2	12.2	0	0	0	0	3.2	0	0	0
t71.d	d	low	west	west.coast	20	500	498	0	1.40562249	0	48.59437751	3.212851406	24.09638554	0	20.08032129	0.200803213	0	0.401606426	0	0.602409639	0	1.204819277	0.4
